Variable,Variable_Type,Type,Missing,Unique_Values
id,Numerical,numeric,0,40750
listing_url,Categorical,character,0,40750
scrape_id,Numerical,numeric,0,1
last_scraped,Categorical,character,0,4
name,Categorical,character,35,39874
summary,Categorical,character,1614,37907
space,Categorical,character,12871,27005
description,Categorical,character,18,40157
experiences_offered,Categorical,character,0,1
neighborhood_overview,Categorical,character,17122,21618
notes,Categorical,character,26140,13428
transit,Categorical,character,15290,23460
access,Categorical,character,17170,21060
interaction,Categorical,character,18273,20507
house_rules,Categorical,character,14831,21937
thumbnail_url,Categorical,character,8616,32126
medium_url,Categorical,character,8616,32126
picture_url,Categorical,character,0,40738
xl_picture_url,Categorical,character,8616,32126
host_id,Numerical,numeric,0,34297
host_url,Categorical,character,0,34297
host_name,Categorical,character,251,10435
host_since,Categorical,character,251,2820
host_location,Categorical,character,416,1232
host_about,Categorical,character,15715,20143
host_response_time,Categorical,character,251,6
host_response_rate,Categorical,character,251,93
host_acceptance_rate,Categorical,character,251,2
host_is_superhost,Categorical,logical,251,3
host_thumbnail_url,Categorical,character,251,33973
host_picture_url,Categorical,character,251,33973
host_neighbourhood,Categorical,character,5194,380
host_listings_count,Numerical,numeric,251,47
host_total_listings_count,Numerical,numeric,251,47
host_verifications,Categorical,character,0,511
host_has_profile_pic,Categorical,logical,251,3
host_identity_verified,Categorical,logical,251,3
street,Categorical,character,0,1628
neighbourhood,Categorical,character,6005,207
neighbourhood_cleansed,Categorical,character,0,217
neighbourhood_group_cleansed,Categorical,character,0,5
city,Categorical,character,44,248
state,Categorical,character,0,6
zipcode,Numerical,numeric,618,198
market,Categorical,character,146,29
smart_location,Categorical,character,0,305
country_code,Categorical,character,0,2
country,Categorical,character,0,2
latitude,Numerical,numeric,0,40712
longitude,Numerical,numeric,0,40660
is_location_exact,Categorical,logical,0,2
property_type,Categorical,character,0,27
room_type,Categorical,character,0,3
accommodates,Numerical,numeric,0,16
bathrooms,Numerical,numeric,159,16
bedrooms,Numerical,numeric,69,12
beds,Numerical,numeric,79,17
bed_type,Categorical,character,0,5
amenities,Categorical,character,0,35135
square_feet,Numerical,numeric,40183,123
price,Categorical,character,0,583
weekly_price,Categorical,character,31743,786
monthly_price,Categorical,character,33339,839
security_deposit,Categorical,character,22958,240
cleaning_fee,Categorical,character,12691,172
guests_included,Numerical,numeric,0,16
extra_people,Categorical,character,0,104
minimum_nights,Numerical,numeric,0,62
maximum_nights,Numerical,numeric,0,266
calendar_updated,Categorical,character,0,69
has_availability,Categorical,logical,40750,1
availability_30,Numerical,numeric,0,31
availability_60,Numerical,numeric,0,61
availability_90,Numerical,numeric,0,91
availability_365,Numerical,numeric,0,366
calendar_last_scraped,Categorical,character,0,4
number_of_reviews,Numerical,numeric,0,267
first_review,Categorical,character,9299,2243
last_review,Categorical,character,9185,1119
review_scores_rating,Numerical,numeric,9924,53
review_scores_accuracy,Numerical,numeric,10017,10
review_scores_cleanliness,Numerical,numeric,9985,10
review_scores_checkin,Numerical,numeric,10036,10
review_scores_communication,Numerical,numeric,9986,10
review_scores_location,Numerical,numeric,10037,10
review_scores_value,Numerical,numeric,10039,10
requires_license,Categorical,logical,0,1
license,Categorical,logical,40750,1
jurisdiction_names,Categorical,character,40746,3
instant_bookable,Categorical,logical,0,2
cancellation_policy,Categorical,character,0,6
require_guest_profile_picture,Categorical,logical,0,2
require_guest_phone_verification,Categorical,logical,0,2
calculated_host_listings_count,Numerical,numeric,0,21
reviews_per_month,Numerical,numeric,9299,834
